epoch,train_loss,train_acc,test_loss,test_acc
1,1.8965,0.5245,0.9365,0.8072
2,0.5478,0.8418,0.7583,0.8790
3,0.3573,0.8953,0.7503,0.8828
4,0.2830,0.9118,0.7430,0.8972
5,0.2319,0.9286,0.7624,0.8858
6,0.2022,0.9378,0.7375,0.9086
7,0.1791,0.9449,0.7016,0.9146
8,0.1630,0.9504,0.7325,0.9131
9,0.1584,0.9519,0.7482,0.9120
10,0.1562,0.9527,0.7291,0.9170
11,0.1492,0.9540,0.6960,0.9153
12,0.1507,0.9535,0.7371,0.9108
13,0.1506,0.9544,0.7361,0.9125
14,0.1511,0.9537,0.7220,0.9190
15,0.1497,0.9541,0.7351,0.9141
16,0.1465,0.9558,0.7372,0.9109
17,0.1460,0.9559,0.7247,0.9188
18,0.1517,0.9551,0.7220,0.9151
19,0.1450,0.9550,0.7245,0.9153
20,0.1463,0.9562,0.7194,0.9158
